,Industry Color Legend,,,,,,,,,
,Direct Farm Operator,Companies that directly own and operate farmland,,,,,,,,
,Food Processor,Companies that process and sell agricultural products,,,,,,,,
,Farmland Investor,"Funds, REITs, and asset managers owning farmland",,,,,,,,
,Crop Insurance,Insurance companies covering crop and farm risk,,,,,,,,
,Agri Input Company,"Seed, chemical, and input suppliers to farmers",,,,,,,,
,,,,,,,,,,
Company Name,Industry,Company Type,HQ State,Est. Size / Scale,Crop Focus,Key Decision Maker Titles,Why They Fit ICP,Recent Signals,Priority Score,Website
R.D. Offutt Farms,Direct Farm Operator,Large-scale Potato Grower,North Dakota,"50,000+ acres, 7 states, 11 processing facilities","Potatoes, Grain","VP Agronomy, Farm Operations Manager, CTO",Largest potato grower in the US. Multi-state ops with heavy machinery fleet. Innovation-focused.,New 90-acre potato research farm (2024). PSA member.,HIGH,rdoffutt.com
J.R. Simplot Company,Direct Farm Operator,Operator + Processor,Idaho,"82,500 acres farmland, $2.5B agribusiness","Potatoes, Wheat, Corn, Barley","Agronomist, Farm Manager, Technology Officer",Named by Ori as key target. Large farming + processing arm. McDonald's supplier — yield precision critical.,Ongoing precision agriculture investment.,HIGH,simplot.com
CSS Farms,Direct Farm Operator,Multi-state Potato Grower,Nebraska,17 farms across 10 states,"Potatoes, Wheat, Carrots","Farm Operations Manager, Sustainability Director","Multi-state potato operations, sustainability focus, vertically integrated seed production.",New mini-tuber greenhouse. Sustainability certifications push.,HIGH,cssfarms.com
Black Gold Farms,Direct Farm Operator,Large-scale Potato Grower,North Dakota,~1 billion lbs annual production,"Potatoes (chipping, processing, fresh, sweet)","VP Operations, Agronomist, Farm Manager","One of the largest US potato growers. Multiple locations, strong processor relationships.",Regenerative agriculture initiative targeting 2030 GHG reduction.,HIGH,blackgoldfarms.com
Alsum Farms & Produce,Direct Farm Operator,Potato Grower + Packer,Wisconsin,200 million lbs/year production,"Potatoes (Russet, Red, Yellow, Blue)","Operations Manager, Farm Director",Large-scale Wisconsin potato operation with multi-machine harvest. Strong processor ties.,Ongoing storage and production facility expansion.,MEDIUM,alsumfarms.com
